Player,Opp,Prediction
Sandy Alcantara,COL,5.94
Lance McCullers Jr,PIT,3.78
Paul Skenes,HOU,5.91
Cade Horton,WSH,3.64
Trevor Williams,CHC,3.72
Tanner Bibee,NYY,4.3
Carlos Rodon,CLE,6.11
Cristopher Sanchez,TOR,4.51
Bowden Francis,PHI,3.68
Yusei Kikuchi,BOS,5.4
Brayan Bello,LAA,6.07
Freddy Peralta,CIN,4.53
Hunter Greene,MIL,5.11
Zac Gallen,ATL,4.32
Spencer Strider,ARI,4.37
Tyler Mahle,TB,4.06
Drew Rasmussen,TEX,4.41
Shane Smith,DET,4.76
Michael Lorenzen,STL,3.9
Andre Pallante,KC,4.13
Tomoyuki Sugano,SEA,4.55
George Kirby,BAL,3.81
Landen Roupp,SD,4.11
Pablo Lopez,ATH,5.14
Jacob Lopez,MIN,2.12
Tylor Megill,LAD,4.68
