name,id,hand
Tylor Megill,3332018,R
Kyle Hendricks,33173,R
German Marquez,34874,R
Griffin Canning,41065,R
Gavin Williams,4345076,R
Colin Rea,33950,R
Justin Verlander,6341,R
Sandy Alcantara,35241,R
Casey Mize,41167,R
Bryan Woo,4629089,R
Patrick Corbin,31313,L
Cade Povich,5085743,L
Quinn Priester,42449,R
Will Warren,5132011,R
Aaron Nola,33709,R
Cal Quantrill,39875,R
Jackson Jobe,4872647,R
Reese Olson,4734319,R
Jordan Hicks,37909,R
Ronel Blanco,41829,R
Logan Allen,4683350,L
Andrew Abbott,4414528,L
Charlie Morton,29155,R
Jack Leiter,4622181,R
Cole Ragans,41054,L
Eduardo Rodriguez,32675,L
Ben Lively,33194,R
Emerson Hancock,4297897,R
Shota Imanaga,5134630,L
Sean Newcomb,33856,L
